"id_i","parent_id_i","path_i","type_i","displayName_s","iconName_s","after_s","parent_s","url_s","isSystemNode_s","id_s","entityName_s","aqlQuery_s","screenLayout_s","externalHref_s","from_h","to_h"
"c7546ecc-082f-4b18-9562-201428ce835c","00000000-0000-0000-0000-000000000001","/navigationNodes","sectionNavigationNode","Term Reports","allItems","*","Custom_section_glossary",,"false",,,,,,"0",
"2a883ff2-49cb-41d2-b53a-9c1a09ba3b36","00000000-0000-0000-0000-000000000001","/navigationNodes","listingNavigationNode","Mapped to Catalog","allItems",,"Custom_section_c7546ecc-082f-4b18-9562-201428ce835c",,"false",,"term","@termInstance(target).any( )",,,"0",
"c52bc511-8b47-4e16-87d1-a664b1f535bb","00000000-0000-0000-0000-000000000001","/navigationNodes","listingNavigationNode","Suggested Mappings","allItems",,"Custom_section_c7546ecc-082f-4b18-9562-201428ce835c",,"false",,"term","@termSuggestion(target).any(status=""PENDING"")",,,"0",
"2e8d6558-5d5d-46b8-b93e-2174178ce30b","00000000-0000-0000-0000-000000000001","/navigationNodes","listingNavigationNode","Domain Suggestions","eye",,"Custom_layout_catalog-items",,"false",,"catalogItem","attributes.some(termSuggestions.some(status=""PENDING""))",,,"0",
"d072591f-3ff5-404b-bcbf-36ea7ca0733a","00000000-0000-0000-0000-000000000001","/navigationNodes","listingNavigationNode","Master Data","members",,"Custom_layout_catalog-items",,"false",,"catalogItem","$parent.$parent.$parent.name like ""mdm""",,,"0",
"542965f7-236f-4805-baf5-81fea0cb2deb","00000000-0000-0000-0000-000000000001","/navigationNodes","listingNavigationNode","Reference Data","table",,"Custom_layout_catalog-items",,"false",,"catalogItem","$parent.$parent.$parent.name like ""rdm""",,,"0",
"f458b2a5-1f63-4cee-ba88-20d16ba856ee","00000000-0000-0000-0000-000000000001","/navigationNodes","listingNavigationNode","Not Monitored","number","Custom_standaloneListing_542965f7-236f-4805-baf5-81fea0cb2deb","Custom_layout_catalog-items",,"false",,"catalogItem","dqEvalAggr is null",,,"0",
